filename,n_cows,beds
2024-01-12-16-40-04.jpg,2,"0,2"
2024-01-12-16-15-04.jpg,2,"0,1"
2024-01-12-11-15-04.jpg,0,
2024-01-12-15-55-04.jpg,0,
2024-01-12-05-55-04.jpg,0,
2024-01-12-08-25-04.jpg,1,2
2024-01-12-12-10-04.jpg,1,1
2024-01-12-05-45-04.jpg,0,
2024-01-12-13-10-05.jpg,2,"0,1"
2024-01-12-14-20-05.jpg,2,"1,2"
2024-01-12-07-00-04.jpg,2,"1,2"
2024-01-12-13-30-04.jpg,2,"0,1"
2024-01-12-14-45-04.jpg,1,2
2024-01-12-08-05-04.jpg,1,2
2024-01-12-07-35-04.jpg,1,2
2024-01-12-17-35-05.jpg,1,2
2024-01-12-07-15-05.jpg,1,2
2024-01-12-06-40-05.jpg,1,1
2024-01-12-14-05-05.jpg,2,"1,2"
2024-01-12-07-45-04.jpg,0,
2024-01-12-17-05-04.jpg,3,"0,2,3"
2024-01-12-08-35-05.jpg,1,2
2024-01-12-05-40-04.jpg,3,"1,2,3"
2024-01-12-11-20-05.jpg,0,
2024-01-12-11-05-04.jpg,0,
2024-01-12-14-15-04.jpg,2,"1,2"
2024-01-12-17-30-04.jpg,2,"0,2"
2024-01-12-11-40-05.jpg,1,1
2024-01-12-11-00-05.jpg,0,
2024-01-12-14-10-04.jpg,2,"1,2"
2024-01-12-16-45-04.jpg,3,"0,1,2"
2024-01-12-14-00-04.jpg,2,"1,2"
2024-01-12-09-05-05.jpg,1,2
2024-01-12-12-40-05.jpg,1,1
2024-01-12-17-10-05.jpg,2,"0,2"
2024-01-12-08-20-05.jpg,1,2
2024-01-12-16-30-05.jpg,2,"0,1"
2024-01-12-09-00-04.jpg,1,2
2024-01-12-06-55-04.jpg,2,"1,2"
2024-01-12-09-55-05.jpg,1,0
2024-01-12-11-35-04.jpg,0,
2024-01-12-10-10-04.jpg,1,0
2024-01-12-06-15-05.jpg,1,1
2024-01-12-08-50-05.jpg,1,2
2024-01-12-12-25-05.jpg,1,1
2024-01-12-09-20-04.jpg,0,
2024-01-12-07-20-05.jpg,1,2
2024-01-12-06-50-05.jpg,1,1
2024-01-12-14-50-04.jpg,1,1
2024-01-12-15-15-05.jpg,0,
2024-01-12-05-50-05.jpg,0,
2024-01-12-16-55-05.jpg,3,"0,1,2"
2024-01-12-12-55-05.jpg,0,
2024-01-12-10-50-04.jpg,0,
2024-01-12-12-35-05.jpg,1,1
2024-01-12-13-05-05.jpg,1,1
2024-01-12-12-45-04.jpg,1,1
2024-01-12-16-05-05.jpg,1,1
2024-01-12-13-25-05.jpg,3,"0,1,2"
2024-01-12-13-50-04.jpg,4,"0,1,2,3"
2024-01-12-09-40-05.jpg,1,0
2024-01-12-14-35-05.jpg,2,"1,2"
2024-01-12-07-25-04.jpg,1,2
2024-01-12-15-50-05.jpg,0,
2024-01-12-10-25-05.jpg,0,
2024-01-12-13-35-05.jpg,3,"0,1,2"
2024-01-12-16-00-04.jpg,1,0
