filename,n_cows,beds
2024-01-12-13-20-04.jpg,2,"0,1"
2024-01-12-21-55-05.jpg,2,"1,3"
2024-01-12-17-40-05.jpg,1,2
2024-01-12-22-40-04.jpg,1,1
2024-01-12-10-35-04.jpg,0,
2024-01-12-22-15-04.jpg,1,1
2024-01-12-18-30-04.jpg,0,
2024-01-12-07-20-05.jpg,1,2
2024-01-12-14-55-05.jpg,1,1
2024-01-12-14-00-04.jpg,2,"1,2"
2024-01-12-17-15-05.jpg,2,"0,2"
2024-01-12-08-50-05.jpg,1,2
2024-01-12-08-05-04.jpg,1,2
2024-01-12-21-00-05.jpg,0,
2024-01-12-04-35-04.jpg,3,"1,2,3"
2024-01-12-16-25-04.jpg,2,"0,1"
2024-01-12-12-10-04.jpg,1,1
2024-01-12-19-55-04.jpg,1,1
2024-01-12-11-50-04.jpg,1,1
2024-01-12-06-10-04.jpg,1,1
2024-01-12-15-30-05.jpg,0,
2024-01-12-06-45-04.jpg,1,1
2024-01-12-19-00-04.jpg,0,
2024-01-12-11-05-04.jpg,0,
2024-01-12-05-05-04.jpg,3,"1,2,3"
2024-01-12-05-50-05.jpg,0,
2024-01-12-20-30-05.jpg,2,"0,1"
2024-01-12-12-45-04.jpg,1,1
2024-01-12-09-35-04.jpg,1,0
2024-01-12-20-20-04.jpg,1,1
2024-01-12-12-00-04.jpg,1,1
2024-01-12-12-55-05.jpg,0,
2024-01-12-05-15-05.jpg,2,"1,3"
2024-01-12-05-40-04.jpg,3,"1,2,3"
2024-01-12-09-25-05.jpg,0,
2024-01-12-15-20-05.jpg,0,
2024-01-12-06-00-04.jpg,1,1
2024-01-12-06-55-04.jpg,2,"1,2"
2024-01-12-19-45-05.jpg,1,1
2024-01-12-11-15-04.jpg,0,
2024-01-12-11-40-05.jpg,1,1
2024-01-12-19-10-04.jpg,0,
2024-01-12-16-35-05.jpg,2,"0,2"
2024-01-12-08-40-04.jpg,1,2
2024-01-12-17-05-04.jpg,3,"0,2,3"
2024-01-12-04-25-05.jpg,3,"1,2,3"
2024-01-12-21-10-04.jpg,1,3
2024-01-12-13-30-04.jpg,2,"0,1"
2024-01-12-10-25-05.jpg,0,
2024-01-12-18-20-05.jpg,0,
2024-01-12-14-45-04.jpg,1,2
2024-01-12-14-10-04.jpg,2,"1,2"
2024-01-12-03-50-04.jpg,4,"0,1,2,3"
2024-01-12-22-50-05.jpg,1,2
2024-01-12-22-05-04.jpg,2,"1,3"
2024-01-12-07-30-05.jpg,1,2
2024-01-12-21-45-04.jpg,2,"1,3"
2024-01-12-17-50-04.jpg,1,2
2024-01-12-08-15-04.jpg,1,2
2024-01-12-15-55-04.jpg,0,
2024-01-12-15-00-05.jpg,1,1
2024-01-12-06-20-04.jpg,1,1
2024-01-12-05-35-05.jpg,3,"1,2,3"
2024-01-12-20-00-04.jpg,1,1
2024-01-12-09-50-04.jpg,1,0
2024-01-12-09-05-05.jpg,1,2
2024-01-12-16-15-04.jpg,2,"0,1"
2024-01-12-16-40-04.jpg,2,"0,2"
2024-01-12-12-20-05.jpg,1,1
2024-01-12-20-55-04.jpg,0,
2024-01-12-19-30-04.jpg,1,1
2024-01-12-11-35-04.jpg,0,
2024-01-12-10-50-04.jpg,0,
2024-01-12-18-00-05.jpg,1,2
2024-01-12-22-25-05.jpg,1,1
2024-01-12-18-55-04.jpg,0,
2024-01-12-07-10-04.jpg,2,"1,2"
2024-01-12-17-25-04.jpg,2,"0,2"
2024-01-12-08-35-05.jpg,1,2
2024-01-12-21-30-04.jpg,2,"0,3"
2024-01-12-13-45-05.jpg,3,"0,1,2"
2024-01-12-04-50-04.jpg,3,"1,2,3"
2024-01-12-04-05-04.jpg,3,"1,2,3"
2024-01-12-13-10-05.jpg,2,"0,1"
2024-01-12-14-30-04.jpg,2,"1,2"
2024-01-12-07-45-04.jpg,0,
2024-01-12-10-05-04.jpg,1,0
2024-01-12-14-20-05.jpg,2,"1,2"
2024-01-12-10-15-05.jpg,1,1
2024-01-12-07-00-04.jpg,2,"1,2"
2024-01-12-07-55-05.jpg,1,2
2024-01-12-13-55-05.jpg,3,"0,1,2"
2024-01-12-21-20-04.jpg,2,"0,3"
2024-01-12-08-25-04.jpg,1,2
2024-01-12-17-35-05.jpg,1,2
2024-01-12-04-15-04.jpg,3,"1,2,3"
2024-01-12-04-40-05.jpg,3,"1,2,3"
2024-01-12-13-00-05.jpg,1,1
2024-01-12-10-40-05.jpg,0,
2024-01-12-18-10-04.jpg,1,2
2024-01-12-22-35-04.jpg,1,1
2024-01-12-18-45-05.jpg,0,
2024-01-12-06-30-04.jpg,1,1
2024-01-12-11-25-05.jpg,0,
2024-01-12-15-10-05.jpg,1,1
2024-01-12-09-15-05.jpg,0,
2024-01-12-16-50-05.jpg,2,"0,2"
2024-01-12-12-30-04.jpg,1,1
2024-01-12-20-45-04.jpg,2,"0,3"
2024-01-12-20-10-05.jpg,1,1
2024-01-12-05-25-04.jpg,3,"1,2,3"
2024-01-12-16-05-05.jpg,1,1
2024-01-12-09-40-05.jpg,1,0
2024-01-12-15-45-05.jpg,0,
2024-01-12-23-05-04.jpg,1,2
2024-01-12-19-20-04.jpg,1,1
2024-01-12-09-45-04.jpg,1,0
2024-01-12-16-55-05.jpg,3,"0,1,2"
2024-01-12-16-00-04.jpg,1,0
2024-01-12-15-15-05.jpg,0,
2024-01-12-11-20-05.jpg,0,
2024-01-12-23-00-04.jpg,1,2
2024-01-12-19-25-04.jpg,1,1
2024-01-12-06-35-05.jpg,1,1
2024-01-12-15-40-05.jpg,0,
2024-01-12-09-10-04.jpg,1,2
2024-01-12-20-40-04.jpg,2,"0,1"
2024-01-12-20-15-05.jpg,1,1
2024-01-12-12-35-05.jpg,1,1
2024-01-12-05-20-04.jpg,3,"1,2,3"
2024-01-12-17-30-04.jpg,2,"0,2"
2024-01-12-08-20-05.jpg,1,2
2024-01-12-21-25-04.jpg,2,"0,3"
2024-01-12-04-45-04.jpg,3,"1,2,3"
2024-01-12-22-30-05.jpg,1,1
2024-01-12-18-15-05.jpg,1,2
2024-01-12-07-05-04.jpg,2,"1,2"
2024-01-12-07-50-05.jpg,1,2
2024-01-12-14-25-04.jpg,2,"1,2"
2024-01-12-10-45-05.jpg,0,
2024-01-12-10-10-04.jpg,1,0
2024-01-12-18-40-05.jpg,0,
2024-01-12-04-10-04.jpg,3,"1,2,3"
2024-01-12-13-05-05.jpg,1,1
2024-01-12-13-50-04.jpg,4,"0,1,2,3"
2024-01-12-13-40-05.jpg,3,"0,1,2"
2024-01-12-17-20-04.jpg,2,"0,2"
2024-01-12-14-35-05.jpg,2,"1,2"
2024-01-12-10-55-04.jpg,0,
2024-01-12-10-00-05.jpg,1,0
2024-01-12-22-20-05.jpg,1,1
2024-01-12-18-50-04.jpg,0,
2024-01-12-07-40-05.jpg,1,2
2024-01-12-07-15-05.jpg,1,2
2024-01-12-18-05-04.jpg,1,2
2024-01-12-08-30-04.jpg,1,2
2024-01-12-04-55-05.jpg,3,"1,2,3"
2024-01-12-04-00-04.jpg,4,"0,1,2,3"
2024-01-12-13-15-05.jpg,2,"0,1"
2024-01-12-21-35-05.jpg,2,"0,3"
2024-01-12-16-10-04.jpg,1,1
2024-01-12-05-30-05.jpg,3,"1,2,3"
2024-01-12-15-05-04.jpg,1,1
2024-01-12-15-50-05.jpg,0,
2024-01-12-19-35-04.jpg,1,1
2024-01-12-11-30-04.jpg,0,
2024-01-12-06-25-05.jpg,1,1
2024-01-12-12-25-05.jpg,1,1
2024-01-12-20-05-05.jpg,1,1
2024-01-12-20-50-04.jpg,0,
2024-01-12-16-45-04.jpg,3,"0,1,2"
